Item Name ,Link,Quanity ,Cost  USD,Notes
Carbon Fiber Rod 500mm 5 pack,https://www.aliexpress.com/item/3256806607506929.html?spm=a2g0o.cart.0.0.1c3e38dawG7N6Z&mp=1&pdp_npi=6%40dis%21USD%21USD%209.39%21USD%208.29%21%21USD%208.29%21%21%21%402103110517673286269392021e3c62%2112000038324054750%21ct%21US%216511760370%21%212%210%21,2,9,
drv8833 motor controler 1 pack,https://www.aliexpress.com/item/3256809542138701.html?spm=a2g0o.cart.0.0.1c3e38dawG7N6Z&mp=1&pdp_npi=6%40dis%21USD%21USD%204.93%21USD%200.99%21%21USD%200.99%21%21%21%402103110517673286269392021e3c62%2112000049971286188%21ct%21US%216511760370%21%211%210%21,1,5,
ES08MA || servos 2 poack,https://www.aliexpress.com/item/3256809559338882.html?spm=a2g0o.cart.0.0.1c3e38dawG7N6Z&mp=1&pdp_npi=6%40dis%21USD%21USD%2031.54%21USD%2013.51%21%21USD%2013.51%21%21%21%402103110517673286269392021e3c62%2112000050026083856%21ct%21US%216511760370%21%211%210%21,1,15,
Solder Paste,https://www.aliexpress.com/item/3256804805080766.html?spm=a2g0o.cart.0.0.1c3e38dawG7N6Z&mp=1&pdp_npi=6%40dis%21USD%21USD%207.42%21USD%207.11%21%21USD%207.11%21%21%21%402103110517673286269392021e3c62%2112000031264357461%21ct%21US%216511760370%21%211%210%21,1,7.11,
Taxes deducted from Ali Express,N.A.,1,4,
,,,,
USB4105-GF-A,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441,2,1.56,"Some of these components, I ordered extra because its LITTERLY cheaper to buy more"
CP2102N-A02-GQFN28R,https://www.digikey.com/en/products/detail/silicon-labs/CP2102N-A02-GQFN28R/9863480,2,8.64,
BMI270,https://www.digikey.com/en/products/detail/bosch-sensortec/BMI270/9974486,2,7.46,
BMP390,https://www.digikey.com/en/products/detail/bosch-sensortec/BMP390/16164575,2,6.3,
MMBT4401_R1_00001,https://www.digikey.com/en/products/detail/panjit-international-inc/MMBT4401-R1-00001/14661149,4,0.64,
OSTTE020104,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTTE020104/2351816,10,3.61,
PS1240P02BT,https://www.digikey.com/en/products/detail/tdk-corporation/PS1240P02BT/935924,2,1.24,
CL21B106KOQNNNE,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B106KOQNNNE/3888530,15,0.53,
C0805C104K5RACTU,https://www.digikey.com/en/products/detail/kemet/C0805C104K5RACTU/411169,20,0.32,
B320A-13-F,https://www.digikey.com/en/products/detail/diodes-incorporated/B320A-13-F/717692,6,1.56,
ESD5Z5.0T5G,https://www.digikey.com/en/products/detail/onsemi/ESD5Z5-0T5G/5404303,10,0.99,
TPS565208DDCR,https://www.digikey.com/en/products/detail/texas-instruments/TPS565208DDCR/7776393,2,2.76,
LD1117S33TR,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S33TR/585766,2,0.68,
ESP32-S3-WROOM-1-N8,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089,2,10.98,
CL21B105KBFNNNE,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687,10,0.13,
CL21A226MAYNNNE,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226MAYNNNE/10479857,3,0.24,
LTST-C170GKT,https://www.digikey.com/en/products/detail/liteon/LTST-C170GKT/269226,3,0.3,
AO3400A,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AO3400A/1855772,10,2.82,
MLZ2012P220WT000,https://www.digikey.com/en/products/detail/tdk-corporation/MLZ2012P220WT000/4327893,2,0.2,
CRCW08051K00FKEA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K00FKEA/1175637,2,0.2,
RMCF0805FT22K1,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22K1/1760211,10,0.07,
RMCF0805FT10K0,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT10K0/1760676,16,0.21,
RC0805JR-075K1L,https://www.digikey.com/en/products/detail/yageo/RC0805JR-075K1L/728338,10,0.08,
W25Q128JVSIM,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIM/6819721,2,3.94,
RC0805FR-072K2L,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676,10,0.1,
RC0805FR-0747K5L,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747K5L/727975,10,0.1,
RT0805BRD0759R7L,https://www.digikey.com/en/products/detail/yageo/RT0805BRD0759R7L/7708567,2,0.32,
RC0805FR-07330RL,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07330RL/727866,10,0.1,
Dijikey Shipping,N.A.,1,7,
Sales tax + terrifs (Dijikey),N.A.,1,8,
,,,,
JLCPCB 4 Layer PCB + stencil + Global Standard Dirrect Line + sales tax,JLC PCB,5,33,
,,,,
JLC PCB order,33,,,
,,,,
Ali express order,40.11,,,
,,,,
Dijikey Order,71.08,,,
,,,,
Total Cost ,144.19,,,
